reservation_id,customer_id,reservation_time,party_size,table_id,special_requests
1,238,"2024-03-12 23:34:24",5,4,NULL
2,176,"2024-07-20 08:23:25",6,14,"Special request 2"
3,356,"2024-09-30 23:54:31",6,13,NULL
4,127,"2024-03-12 10:46:47",3,8,NULL
5,6,"2024-04-26 10:51:13",5,13,NULL
6,294,"2024-01-10 21:59:18",4,12,NULL
7,290,"2024-07-17 12:02:00",8,5,NULL
8,189,"2024-07-23 22:30:13",6,11,NULL
9,30,"2024-01-08 05:10:50",8,9,NULL
10,57,"2024-09-20 13:25:57",3,3,"Special request 10"
11,70,"2024-04-07 02:44:25",8,12,"Special request 11"
12,134,"2024-12-24 10:19:43",2,10,NULL
13,398,"2024-10-18 01:10:50",6,10,"Special request 13"
14,232,"2024-07-12 23:56:52",3,12,NULL
15,314,"2024-03-12 20:34:01",2,14,"Special request 15"
16,304,"2024-03-23 13:31:18",4,13,NULL
17,201,"2024-10-21 19:21:27",7,12,"Special request 17"
18,15,"2024-05-16 18:55:15",7,13,NULL
19,450,"2024-07-03 21:02:21",7,10,NULL
20,50,"2024-01-14 11:30:04",8,5,NULL
21,429,"2024-05-21 20:09:15",4,11,"Special request 21"
22,209,"2024-03-19 05:02:10",7,7,NULL
23,299,"2024-08-15 11:30:24",4,12,NULL
24,243,"2024-03-13 05:12:40",5,2,NULL
25,380,"2024-05-22 18:55:13",6,4,"Special request 25"
26,427,"2024-12-10 01:46:39",3,14,"Special request 26"
27,97,"2024-05-16 16:27:37",4,6,NULL
28,81,"2024-04-16 15:33:33",8,1,"Special request 28"
29,226,"2024-12-22 14:20:29",5,11,"Special request 29"
30,18,"2024-01-16 21:16:50",2,7,NULL
31,430,"2024-10-16 16:24:09",4,9,NULL
32,37,"2024-01-23 14:55:10",2,4,"Special request 32"
33,162,"2024-07-22 21:04:43",7,7,NULL
34,209,"2024-10-30 10:00:20",8,1,NULL
35,192,"2024-05-27 12:23:33",8,3,"Special request 35"
36,44,"2024-02-16 08:00:59",4,8,"Special request 36"
37,489,"2024-01-12 05:12:59",3,1,NULL
38,199,"2024-06-25 10:40:06",3,11,NULL
39,271,"2024-07-23 20:33:31",3,4,NULL
