sale_id,customer_id,employee_id,menu_item_id,time_id,table_id,reservation_id,payment_id,quantity,total_price
1,336,1,1,2024-02-07,7,NULL,52,4,15.62
2,303,10,30,2024-02-03,8,65,31,5,118.90
3,445,7,20,2024-03-29,5,267,491,4,44.72
4,341,4,24,2024-11-21,1,659,617,1,39.62
5,303,7,8,2024-06-12,7,NULL,369,5,148.85
6,318,8,2,2024-10-24,15,950,649,2,31.07
7,312,3,18,2024-02-13,12,761,911,2,73.04
8,390,9,5,2024-12-29,9,NULL,431,4,34.30
9,287,1,23,2024-05-26,13,NULL,648,5,45.63
10,368,7,7,2024-02-07,13,NULL,336,3,8.13
11,86,7,22,2024-08-02,13,135,727,2,52.88
12,331,10,29,2024-10-29,4,NULL,236,4,40.48
13,55,10,17,2024-10-02,3,225,501,5,150.12
14,428,10,12,2024-12-11,9,547,566,1,49.68
15,153,8,22,2024-06-19,3,969,19,1,244.23
16,250,1,18,2024-11-27,12,42,23,5,97.12
17,175,6,24,2024-03-06,9,849,308,5,14.46
18,40,7,4,2024-07-26,8,NULL,211,5,107.61
19,418,6,10,2024-11-15,7,261,781,1,90.26
20,469,9,15,2024-10-12,8,26,834,1,160.35
21,454,9,15,2024-12-12,4,340,439,1,65.91
22,339,6,25,2024-05-11,6,NULL,515,3,95.29
23,271,5,15,2024-02-13,3,984,418,1,104.94
24,158,5,6,2024-08-03,7,580,781,1,145.59
25,69,10,9,2024-07-26,1,587,975,1,184.02
26,159,1,9,2024-04-25,11,729,938,3,40.45
27,16,1,7,2024-11-15,11,901,456,3,154.37
28,365,1,7,2024-10-27,7,NULL,899,5,200.41
29,26,10,26,2024-03-19,9,879,73,4,131.95
30,237,6,5,2024-03-15,9,537,931,1,128.19
31,237,6,8,2024-09-14,12,588,265,3,10.50
32,357,6,16,2024-12-23,6,NULL,929,2,160.91
33,485,1,16,2024-05-15,5,470,573,3,64.55
34,108,10,6,2024-01-10,9,NULL,296,1,131.95
35,234,5,1,2024-08-02,14,NULL,307,1,138.91
36,271,8,28,2024-07-09,13,120,57,5,83.20
37,65,2,12,2024-06-03,15,231,252,3,35.97
38,125,2,1,2024-08-31,4,448,524,2,90.91
39,332,7,10,2024-07-20,13,233,509,5,40.46
40,447,5,18,2024-08-13,5,254,382,1,103.61
41,396,5,22,2024-05-13,10,851,770,2,14.07
42,259,6,6,2024-04-24,15,175,779,2,90.37
43,271,5,23,2024-05-07,8,307,487,3,10.48
44,351,5,10,2024-02-19,11,846,623,3,11.46
45,337,4,20,2024-04-24,9,NULL,748,1,21.78
46,256,5,20,2024-01-02,1,433,866,1,128.68
47,269,8,10,2024-03-10,1,598,394,1,198.56
48,326,5,4,2024-04-16,3,NULL,629,4,124.13
49,83,5,18,2024-09-04,10,673,29,1,64.48
50,47,5,26,2024-12-28,6,NULL,738,4,59.55
51,389,2,10,2024-02-21,12,330,25,1,102.37
52,425,7,27,2024-05-19,4,592,770,1,7.11
53,441,5,11,2024-08-10,15,NULL,806,2,42.51
54,1,9,9,2024-10-26,4,NULL,379,3,99.09
55,258,9,24,2024-04-21,3,NULL,395,1,98.22
56,105,10,2,2024-05-19,12,NULL,838,4,166.22
57,177,7,4,2024-09-27,5,568,955,1,29.01
58,268,1,26,2024-12-26,6,NULL,317,5,159.67
59,212,1,24,2024-10-24,12,692,261,2,22.54
60,163,4,1,2024-10-27,2,828,68,5,34.58
61,389,5,4,2024-01-25,1,NULL,362,1,41.37
62,282,4,5,2024-09-19,2,73,572,4,88.04
63,53,10,19,2024-03-03,15,813,26,4,121.07
64,34,9,25,2024-09-20,2,875,28,3,146.76
65,4,4,22,2024-08-10,13,575,598,2,155.29
66,264,2,10,2024-01-12,4,405,979,4,56.82
67,44,6,13,2024-07-01,4,666,306,3,41.65
68,91,7,26,2024-03-28,10,111,367,3,76.34
69,236,8,8,2024-02-06,11,321,717,4,263.95
70,355,9,27,2024-01-02,6,NULL,212,3,183.41
71,68,3,26,2024-06-29,14,829,793,3,164.72
72,417,5,26,2024-11-15,12,341,674,2,120.73
73,165,2,28,2024-01-17,8,635,549,5,65.98
74,348,7,6,2024-12-17,4,91,349,3,20.00
75,283,6,2,2024-07-30,12,939,574,1,93.35
76,384,5,27,2024-01-25,11,749,605,4,39.30
77,326,4,26,2024-03-05,5,626,758,5,76.80
78,288,9,12,2024-05-28,14,879,433,3,22.29
79,337,10,21,2024-07-16,11,NULL,912,1,27.87
80,99,10,4,2024-10-23,10,NULL,467,4,146.50
81,232,1,27,2024-04-15,12,NULL,510,4,45.08
82,323,2,2,2024-08-25,2,476,712,1,62.74
83,308,4,28,2024-07-27,2,67,358,3,195.04
84,206,3,29,2024-12-28,3,NULL,202,5,67.12
85,21,2,19,2024-09-02,8,467,192,3,48.36
86,251,3,16,2024-12-12,4,263,790,1,105.90
87,28,3,6,2024-02-08,15,884,731,1,45.95
88,495,7,13,2024-01-29,2,463,220,4,99.13
89,481,9,8,2024-10-15,3,165,197,3,189.66
90,177,5,2,2024-01-02,13,731,877,1,21.57
91,205,9,24,2024-07-28,8,791,28,4,128.17
92,43,1,26,2024-02-13,2,259,969,1,131.72
93,199,2,22,2024-12-31,14,235,59,3,43.80
94,107,8,2,2024-02-07,5,398,184,4,8.71
95,379,2,22,2024-12-11,9,27,638,1,183.66
96,160,1,11,2024-07-23,12,148,496,1,79.28
97,351,5,3,2024-02-22,7,NULL,642,5,26.78
98,209,10,13,2024-04-21,4,200,803,3,38.66
99,283,5,21,2024-12-26,14,520,310,5,5.52
100,207,8,23,2024-05-24,11,389,60,1,142.80
101,210,2,22,2024-12-13,10,719,618,5,91.11
102,427,5,27,2024-01-04,6,NULL,839,5,151.97
103,496,6,27,2024-08-31,11,505,953,2,24.39
104,399,5,20,2024-12-23,15,NULL,680,4,71.05
105,192,10,19,2024-03-28,6,NULL,887,3,132.46
106,449,2,1,2024-08-09,1,122,921,2,79.93
107,468,4,27,2024-05-21,5,732,684,2,33.02
108,43,5,1,2024-10-14,13,NULL,471,5,85.34
109,340,2,21,2024-01-18,3,523,834,4,120.06
110,2,10,17,2024-01-17,9,585,967,1,60.72
111,468,9,6,2024-07-31,5,NULL,223,4,24.99
112,295,5,18,2024-07-01,12,25,357,4,58.45
113,498,2,16,2024-05-03,2,96,44,5,155.13
114,251,1,26,2024-01-16,10,874,858,4,170.97
115,313,8,3,2024-02-04,3,660,367,5,27.65
116,28,4,14,2024-04-15,2,592,245,3,61.94
117,332,6,28,2024-11-18,10,488,24,4,15.86
118,456,3,11,2024-02-08,8,814,931,2,73.25
119,342,4,18,2024-12-03,14,328,874,2,40.69
120,485,8,20,2024-01-19,6,962,998,1,63.01
121,46,5,30,2024-07-06,10,NULL,560,4,224.16
122,51,9,23,2024-05-19,10,NULL,841,2,130.83
123,238,6,7,2024-07-05,14,NULL,878,4,119.66
124,178,4,15,2024-06-17,14,NULL,246,2,93.52
125,328,6,29,2024-12-14,15,NULL,465,4,66.31
126,159,2,29,2024-03-30,6,970,841,2,264.04
127,301,4,24,2024-01-09,11,603,346,5,33.22
128,309,10,20,2024-07-20,12,323,582,5,265.96
129,38,4,23,2024-07-28,10,731,728,3,33.05
130,34,9,30,2024-06-16,5,687,89,2,36.67
131,122,2,28,2024-02-28,2,NULL,227,3,185.94
132,96,5,26,2024-09-22,2,944,322,4,100.61
133,163,10,1,2024-02-12,8,556,120,5,80.05
134,314,1,7,2024-12-30,6,NULL,700,2,13.05
135,385,7,5,2024-08-27,13,611,378,1,37.53
136,229,6,10,2024-01-04,2,446,229,5,45.50
137,343,4,25,2024-01-12,10,907,13,2,77.61
138,368,7,27,2024-07-25,3,393,410,5,11.29
139,351,5,7,2024-08-20,9,NULL,916,5,19.85
140,203,9,1,2024-07-14,10,828,510,1,179.40
141,278,5,12,2024-09-03,4,829,845,4,35.89
142,25,8,21,2024-01-18,4,594,778,1,58.74
143,343,5,8,2024-11-24,11,NULL,373,1,104.43
144,488,3,5,2024-02-17,3,106,930,2,147.28
145,194,8,13,2024-11-20,4,520,291,5,70.97
146,483,8,26,2024-12-27,6,869,313,5,143.34
147,220,10,20,2024-04-12,7,557,649,3,256.82
148,391,2,15,2024-12-03,3,757,636,5,109.00
149,95,8,29,2024-08-10,4,561,83,4,127.35
150,19,7,1,2024-02-21,11,314,315,4,33.13
151,281,1,18,2024-10-21,4,NULL,216,4,154.25
152,350,1,29,2024-09-05,9,NULL,421,4,93.91
153,78,8,12,2024-08-19,15,396,749,3,32.06
154,273,7,15,2024-07-11,3,318,454,2,15.36
155,430,1,14,2024-03-10,10,993,235,1,74.83
156,49,2,12,2024-07-17,9,730,440,1,123.32
157,384,1,2,2024-02-05,5,120,986,3,199.76
158,103,7,25,2024-01-14,11,475,777,3,105.28
159,60,5,21,2024-03-11,14,269,330,5,66.01
160,202,2,19,2024-07-15,14,NULL,59,1,19.31
161,457,1,23,2024-06-28,3,559,538,1,27.34
162,328,7,13,2024-01-01,12,NULL,440,2,14.99
163,423,10,8,2024-05-15,2,921,249,3,187.05
164,41,10,21,2024-07-10,8,602,912,4,32.53
165,185,2,22,2024-02-20,8,10,736,4,14.03
166,74,10,13,2024-03-04,10,872,734,1,8.24
167,315,7,11,2024-10-28,1,NULL,872,5,24.72
168,194,4,23,2024-08-20,14,441,306,2,50.89
169,110,4,8,2024-01-23,9,NULL,888,2,72.16
170,414,2,4,2024-04-08,15,263,213,2,209.39
171,50,10,8,2024-07-03,12,600,836,2,96.72
172,385,5,6,2024-05-22,7,NULL,380,1,134.81
173,465,1,22,2024-03-26,1,578,254,3,252.59
174,8,3,4,2024-11-02,14,NULL,591,3,71.10
175,398,3,23,2024-01-23,1,504,98,5,34.94
176,249,4,2,2024-05-19,11,32,851,1,68.96
177,497,8,21,2024-03-03,13,898,440,3,46.15
178,494,4,27,2024-04-09,11,NULL,12,3,150.23
179,133,4,6,2024-09-12,15,NULL,798,4,137.24
180,176,10,19,2024-04-02,7,789,687,1,18.89
181,50,10,11,2024-01-09,1,242,14,2,78.12
182,410,10,13,2024-02-21,7,NULL,75,4,17.83
183,103,5,18,2024-08-11,5,226,270,4,129.72
184,500,9,2,2024-11-09,2,NULL,582,5,15.18
185,375,7,24,2024-01-25,1,NULL,77,5,51.78
186,127,4,2,2024-02-16,8,420,519,2,32.24
187,259,9,24,2024-04-14,2,860,408,3,41.32
188,288,1,11,2024-09-08,6,NULL,465,3,49.44
189,93,2,14,2024-08-03,10,114,359,3,43.81
190,210,3,7,2024-04-02,9,840,862,4,68.16
191,492,7,15,2024-05-18,7,NULL,654,2,35.61
192,374,4,20,2024-03-08,14,658,23,1,144.42
193,311,1,6,2024-11-27,15,794,543,2,6.36
